-18794,-53631,-79232,-61790
-19109,-54180,-70875,-52964
-23902,-52191,-49901,-30282
-8683,-13734,1297,8096
-51894,-61994,-22148,10820
-51924,-40330,13053,44683
-11771,26065,56505,60128
32275,85162,94412,69346
7327,17106,35363,30479
-4429,8689,43790,46962
-14607,2278,40585,48933
-5032,10416,29292,32991
-1360,-12946,-20418,-16738
-21454,-48088,-65721,-46321
-30915,-66770,-89367,-65648
-24024,-50772,-72495,-54060
-29157,-47194,-61147,-45941
-20816,-38655,-62114,-55429
-19782,-54381,-79340,-69284
2726,-17149,-31069,-35185
-928,13129,43289,40015
4323,34157,73604,65454
6753,30462,53872,44264
11752,30423,37983,26760
15470,7819,-8591,-13715
25991,16392,-6048,-14069
39151,52441,39686,21331
8721,19861,23158,20857
18515,22474,18358,4286
9963,786,-1691,-8063
-6997,-12898,-4859,3798
-18106,-22893,-7974,7372
-10925,-17738,-12610,-4448
-2534,-1958,8683,10709
-1454,-8262,5314,5012
12944,13066,16368,7510
-3532,-4854,-2033,-286
-17971,-23851,-19138,-8190
-16489,-21030,-13441,-5825
-18120,-29275,-31777,-21264
-4993,6418,5615,2196
-8404,-6870,-18775,-25288
-677,-28742,-48478,-56982
11450,-22488,-46950,-57756
-9838,-16182,7592,13407
-17840,-28693,8803,21743
-17704,-16049,27276,41018
-15145,-17741,2649,16124
-14333,-11242,-5225,-2272
-8002,-12340,-12666,-14647
-6894,-26470,-24148,-17905
-5314,-30120,-30306,-23021
-5546,4287,24905,29321
9659,33610,65939,59487
31405,64724,101500,80107
33681,54255,71907,50297
-23791,-10757,27130,37059
-17757,-6666,21663,27363
-4863,-20207,-27654,-25558
25365,15868,-5921,-20458
8234,9098,5377,3148
16906,10380,-8008,-14064
18151,3041,-24452,-30067
9081,-4055,-19861,-22196
51978,68191,40203,10758
44573,57370,31637,5405
2484,-530,-10464,-15076
-15997,-19560,-11992,-6464
-9015,-1036,2813,5227
-6461,10232,13389,10661
331,8014,3209,-4724
10827,14505,5859,-6319
7351,3805,11690,9239
-4214,-8731,13739,21306
1824,23465,60372,58868
-10577,2567,24332,32158
-19821,-20669,-4540,6992
-13171,-19280,-15951,-5937
-3690,-21324,-40462,-29596
1464,-15763,-34803,-28546
-27847,-35101,-22560,-10265
-35480,-56751,-52254,-33998
-59610,-117032,-139169,-96932
-14589,-39824,-55977,-43157
-27389,-46475,-42764,-23976
-12753,-34033,-40266,-27838
981,-21456,-42816,-32548
8053,-3021,-17284,-14724
34336,65286,69021,45622
49906,90781,77038,42315
46586,78457,43677,10726
14452,16917,-21847,-32825
11557,32828,49245,41449
16805,22693,20151,11282
33128,27238,8721,-7530
14865,-11651,-37240,-40898
-50547,-68337,-30560,-1515
-63937,-75654,-11143,24660
-47600,-41936,22121,45973
-13296,2545,39043,43447
1922,-10672,-26600,-27161
-19,1511,-5218,-5370
-4364,-3095,-5594,-6721
4808,18660,20144,13581
-16652,-47544,-72761,-62222
-37588,-83976,-103010,-78598
-63946,-108210,-97544,-56509
-40838,-54748,-27300,-2914
9944,9028,-8628,-17095
13146,-4974,-42514,-51219
-5838,-43556,-79584,-70060
-22411,-61890,-79458,-60200
-43534,-42170,-11511,10921
-25455,-18942,-1517,6697
9393,1060,-14350,-23426
27794,18205,-3826,-23074
-28893,-40424,-30998,-15094
-16716,-28674,-27115,-17900
15084,19748,14175,8566
4827,-1923,-11190,-9565
-26474,-36706,-35339,-21369
-12915,-1890,2157,3407
5414,8349,-8487,-19264
33912,55861,45906,17779
-29678,-35977,-19035,-4533
-28058,-38385,-30323,-17020
-13078,-35146,-55098,-44020
2573,-6119,-22907,-22631
41752,30138,-7062,-25078
38065,13161,-26493,-37202
7275,-7784,-18765,-12429
-11866,-14272,-2085,11491
3801,-3603,-17653,-18261
-7275,-22782,-28910,-23029
-3426,3875,27830,27808
-17826,-21091,-1191,9492
-54505,-111596,-117543,-76117
-56420,-114965,-104932,-58216
-4149,-9516,22018,34622
3072,13475,42866,47653
-9248,6082,16813,19939
456,21604,7071,3442
20939,30231,-23066,-40413
10259,-2170,-59562,-67701
16836,34381,25087,6512
33906,29737,-19121,-49701
31776,-32152,-106869,-123747
23023,-44671,-100573,-109204
-4902,-21840,-34628,-28325
-13628,-48753,-64073,-48644
-29081,-66893,-72323,-42846
-21956,-40190,-30947,-10048
3795,21478,37517,31248
23985,39158,46068,26939
43113,31690,21470,-1536
44275,27580,14109,-7687
-31564,-47520,-43104,-18398
-17284,-7907,9920,23552
44374,98554,122190,89536
45563,91808,104951,71612
-14870,-39369,-45381,-33178
-22618,-57399,-48559,-29166
-16765,-25935,15637,29458
-7489,81,44108,50073
-20986,-6809,18070,23116
-7315,20469,43479,32897
17239,30852,29327,4901
27518,25367,3777,-21298
2060,4521,10047,5662
-9292,-18726,-1956,1891
-41213,-65346,-34025,-3873
-20272,-38260,-21633,-2739
50790,49289,-8772,-36406
46507,13412,-64188,-85785
1937,-59657,-110610,-98771
-14973,-63520,-77351,-57640
-742,12510,28323,25634
6577,35661,50420,41422
13733,44966,40967,27259
12225,32660,19248,7254
-3642,-3815,13821,16803
-451,2220,24409,27716
2389,21130,33399,34778
-10422,5262,17814,24745
-13185,-40454,-49077,-36244
1548,-18500,-3883,2608
14552,31143,86945,87346
7506,30131,85922,87794
58269,66496,27134,-5796
68712,65327,5060,-32477
38243,15662,-40885,-59018
-156,-23061,-46050,-43091
1959,4240,12287,12305
8240,10964,12208,8607
8381,7224,-1167,-5073
5897,5557,-3894,-8337
-3340,-8339,-35717,-34905
-610,-11097,-59777,-61485
10082,-21846,-81420,-85595
9255,-10517,-37730,-43377
-31857,-42254,-30117,-5824
-22378,-18000,-3109,9443
12635,26551,22740,5952
27993,38203,19800,-5657
44437,76663,64658,30503
113839,155860,120424,44917
140438,162947,107846,25726
89982,89833,52756,8082
-5949,29756,60157,52543
13734,55714,79513,54837
32667,71775,84590,45713
29368,44085,44990,17611
-54826,-68897,-48412,-20206
-80033,-118620,-101823,-55765
-79085,-120159,-105081,-59332
-46977,-77726,-73693,-42097
-24382,-58537,-70633,-49641
-39473,-66988,-59177,-25725
-31910,-43889,-31695,-1056
-19769,-10090,5921,22050
13930,45430,55176,39001
28489,65196,75338,51817
27012,53133,70162,49966
15571,31316,46299,37650
17227,5277,-14328,-2574
33442,26547,-5708,-5519
40608,31773,-12011,-23885
32739,24264,-11986,-26743
-3396,-3690,-9119,-751
-344,18499,20953,17583
23007,57892,62004,36258
32427,62998,64290,30203
-7203,13591,37761,38023
-3740,20440,56912,59435
-2378,25051,65234,65266
-7237,11198,42662,47866
-22596,-17107,1474,14274
-37456,-62082,-66782,-36176
-62926,-124039,-141821,-85772
-39290,-99028,-128868,-83312
6722,-14465,-36656,-33158
-2311,-34319,-65068,-40158
-43,-23350,-41868,-19592
2959,3716,-6423,4941
-32005,6405,60337,71001
-32934,1389,39809,46367
-53611,-75555,-76513,-52542
